#No. 	 Label Name: 	 R 	 G 	 B 	 A 	
 0 	 Unknown 	 0.0000 	 0.0000 	 0.0000 	 0
 1 	 V1v 	 0.3961 	 0.2157 	 0.0863 	 0
 2 	 V1d 	 0.9216 	 0.1294 	 0.1529 	 0
 3 	 V2v 	 0.6000 	 0.1294 	 0.4118 	 0
 4 	 V2d 	 0.9686 	 0.6000 	 0.1255 	 0
 5 	 V3v 	 0.2039 	 0.1490 	 0.3922 	 0
 6 	 V3d 	 0.9490 	 0.9216 	 0.0824 	 0
 7 	 hV4 	 0.0706 	 0.4078 	 0.6078 	 0
 8 	 VO1 	 0.2000 	 0.4039 	 0.2039 	 0
 9 	 VO2 	 0.5961 	 0.6039 	 0.2157 	 0
 10 	 PHC1 	 0.8039 	 0.4157 	 0.1608 	 0
 11 	 PHC2 	 0.6000 	 0.1098 	 0.1255 	 0
 12 	 TO2 	 0.1059 	 0.2196 	 0.3922 	 0
 13 	 TO1 	 0.5451 	 0.2784 	 0.1255 	 0
 14 	 LO2 	 0.8196 	 0.2824 	 0.5961 	 0
 15 	 LO1 	 0.3961 	 0.2118 	 0.5804 	 0
 16 	 V3B 	 0.2157 	 0.7725 	 0.9529 	 0
 17 	 V3A 	 0.4157 	 0.7412 	 0.2784 	 0
 18 	 IPS0 	 0.9373 	 0.4000 	 0.4000 	 0
 19 	 IPS1 	 0.9882 	 0.8039 	 0.6000 	 0
 20 	 IPS2 	 0.9725 	 0.9569 	 0.6078 	 0
 21 	 IPS3 	 0.6000 	 0.8000 	 0.5961 	 0
 22 	 IPS4 	 0.6275 	 0.7843 	 0.9216 	 0
 23 	 IPS5 	 0.7137 	 0.6078 	 0.7843 	 0
 24 	 SPL1 	 0.9529 	 0.6000 	 0.7490 	 0
 25 	 FEF 	 0.8000 	 0.5961 	 0.4000 	 0
 
